PROVINCE / LGU,Distance (km),Distance (mi),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Davao Oriental,1025.21,637.04,-,26.4477,22.5285,33.5293,35.9419,35.9707,37.7291,32.7272,31.8247,32.4541
Dinagat Islands,712.78,442.9,-,26.9871,21.0404,32.7361,33.7289,34.4627,36.5214,32.0893,29.8733,29.1051
Eastern Samar,582.93,362.22,-,-,19.4815,28.8222,28.5796,31.9156,34.6104,18.3369,25.0854,30.1986
Guimaras,477.42,296.66,-,26.1231,22.161,34.1217,35.8317,36.9841,37.456,32.6431,30.746,32.3026
Ifugao,247.3,153.66,-,-,23.7681,28.1714,34.9284,37.4331,36.5496,35.8424,30.5225,31.9729
Ilocos Norte,406.94,252.86,-,32.3296,26.9842,33.7634,37.2626,37.248,38.4018,35.0176,32.7967,33.3932
Ilocos Sur,336.6,209.16,-,28.6866,27.3181,35.4851,36.9456,37.8125,38.5141,34.8278,31.3557,31.7192
Iloilo Province,465.92,289.51,-,30.4385,21.6225,32.5642,36.2208,36.5504,38.741,33.898,30.6527,31.9318
Isabela,533.95,331.78,-,31.2256,25.8971,33.9206,37.4897,38.8447,38.9956,32.1338,31.1205,32.8183
Kalinga,325.77,202.42,-,27.7017,25.5309,33.444,37.3407,35.9077,35.9831,32.4797,29.1627,31.0821
La Union,641.81,398.8,-,33.1259,27.4245,36.2232,37.8051,38.9259,40.0963,36.3931,33.0947,36.3735
Laguna,148.03,91.98,-,31.3959,29.7725,37.72,40.6757,47.0494,47.4095,39.7034,37.2091,40.1525
Lanao Del Norte,788.46,489.93,-,31.0576,22.6662,27.7838,32.4247,33.7421,36.5955,33.8648,27.7238,30.93
Lanao Del Sur,835.7,519.28,-,-,-,-,-,-,-,27.0458,25.2499,23.8701
Leyte Province,521.9,324.29,-,15.9028,23.2118,33.4703,33.0907,34.3851,36.8655,33.1198,28.6184,29.8942
Maguindanao,811.58,504.29,-,-,-,-,-,-,-,33.305,29.2707,32.4495
Marinduque,171.74,106.72,-,28.9205,26.0681,35.8759,35.9613,38.1715,37.8428,32.4786,32.1505,30.9278
Masbate Province,376.53,233.96,-,20.0425,18.2252,23.6347,28.4029,26.0641,32.5768,29.0747,22.9991,25.622
Metro Manila,0,0,-,-,-,-,-,-,-,-,-,-
Misamis Occidental,742.38,461.29,-,26.8057,26.8179,36.2104,36.8093,38.6687,38.2915,32.078,29.0115,30.4893
Misamis Oriental,780.66,485.08,-,38.9269,26.6139,34.6768,37.6513,37.0831,38.1622,34.634,32.4372,33.8454
Mountain Province,278.92,173.32,-,-,-,-,-,-,-,-,-,-
Negros Occidental,532.18,330.68,-,28.4305,21.962,31.2362,36.4449,35.0993,35.3915,30.8775,28.45,29.5693
