PROVINCE / LGU,Distance (km),Distance (mi),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Amulung,370.8,230.4,-,14.4395,8.5614,6.8298,0,6.4097,4.0169,4.1599,3.9811,7.5141
Anahawan,667.58,414.82,-,-,-,7.4372,0,4.5178,9.7068,9.091,4.8415,4.5723
Anao,132.91,82.58,-,8.1739,11.401,10,0,8.4714,8.6134,9.989,7.5828,7.636
Anda (BL),666.91,414.4,-,4.1409,7.3841,7.0156,0,10.4207,8.2291,10.3827,5.1205,5.6251
Anda (PS),217.69,135.27,-,-,3.208,8.36,0,9.0111,8.1134,6.9302,6.6295,7.0227
Angadanan,265.19,164.78,-,13.4039,0.087,9.4402,0,11.6054,11.3676,9.5331,8.3249,8.6098
Angat,41.86,26.01,13.0688,10.9079,9.529,5.6034,0,5.4337,10.3208,8.5934,6.4569,8.7168
Angeles,72.78,45.22,21.1174,22.0888,14.465,10.5355,10.9188,8.7454,8.7478,8.2712,8.7562,8.7577
Angono,20.33,12.63,18.3349,17.4612,13.0408,12.8895,0,12.9607,12.5119,11.4188,8.322,10.3472
Anilao,444.65,276.29,-,10.3446,9.0943,7.2044,0,11.2169,11.2031,9.6845,7.9384,8.1663
Anini-Y,473.43,294.18,-,-,10.4416,3.4966,0,8.5239,8.8212,7.4843,4.9619,6.1861
Antequera,623.07,387.16,-,10.994,10.3893,6.3269,0,11.2492,9.8021,9.3041,7.6658,4.8639
Antipas,929.43,577.52,6.3353,15.3166,11.2349,11.0308,0,10.4492,10.4431,9.4146,7.5395,10.1682
Antipolo,21.07,13.09,17.0767,17.4747,14.9121,14.5241,13.2476,15.9956,16.6629,14.6238,10.9726,11.0591
Apalit,46.87,29.13,-,-,9.2537,8.9861,0,9.9064,10.0172,8.9093,7.4534,8.5691
Aparri,425.5,264.39,13.8482,12.8564,10.9318,10.6883,0,10.2495,10.4375,9.4363,7.8758,8.2217
Araceli,922.93,573.48,-,-,-,-,0,0.1372,10.2212,6.8958,5.8724,5.9765
Arakan,462.04,287.1,7.2594,16.399,11.8212,11.3416,0,10.466,10.5558,9.1748,7.9345,9.1791
Arayat,66.79,41.5,-,-,1.775,4.2322,0,10.2475,10.1149,9.6801,8.2078,9.2718
Argao,595.53,370.05,13.7158,18.6372,13.0019,9.324,0,11.2007,10.8086,10.1687,8.0478,9.835
Aringay,212.52,132.06,14.5116,15.2843,11.4439,9.001,0,9.8078,9.5519,9.3087,6.7895,9.6269
Aritao,190.92,118.63,-,-,6.3772,8.5825,0,10.2827,9.6439,9.3004,6.6295,8.6397
