PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aroroy,-,-,-,16.0495,0.0000,16.9176,17.3706,13.4839,11.4531,11.3659
Arteche,-,-,-,15.0278,0.0000,15.8162,16.5372,12.8532,11.1027,10.3360
Asingan,-,-,-,10.9034,0.0000,16.5999,16.4473,13.5805,11.6834,11.6294
Asipulo,-,-,-,10.6005,0.0000,15.4954,16.7540,14.0159,11.7399,11.1561
Asturias,-,-,-,16.1742,0.0000,17.1058,17.0184,13.4986,11.4484,11.5085
Asuncion,-,-,-,15.8130,0.0000,15.5503,16.3825,13.3581,11.3462,11.3446
Atimonan,-,-,-,16.1354,0.0000,16.8026,17.0757,13.6076,11.3790,11.2345
Atok,-,-,-,12.8679,0.0000,13.4676,14.0111,13.1054,10.5272,10.1147
Aurora (IA),-,-,-,16.0696,0.0000,16.8147,16.9628,13.4923,11.3083,11.2190
Aurora (ZR),-,-,-,7.9105,0.0000,13.5696,15.8392,13.3397,10.3278,11.0977
Ayungon,-,-,-,16.0529,0.0000,16.5346,16.9181,11.9708,10.0062,10.2202
Agdangan,-,-,-,15.4705,0.0000,15.8295,16.1512,12.8538,11.5730,11.4137
Aglipay,-,-,-,16.1614,0.0000,15.5953,16.9851,13.5067,11.3877,11.1982
Agoncillo,-,-,-,13.5079,0.0000,16.8938,16.9247,12.2066,9.9000,10.8548
Agoo,-,-,-,16.3728,0.0000,17.3417,17.9333,15.1421,12.5901,13.8260
Agutaya,-,-,-,-,0.0000,0.0000,11.3989,10.5384,11.0378,10.8043
Alabel,-,-,-,16.3727,0.0000,17.4451,18.0168,14.3541,12.2559,12.3021
Alcala (PS),-,-,-,11.8662,0.0000,16.8710,16.8538,13.5630,11.4785,11.4777
Alcantara (RN),-,-,-,12.4418,0.0000,0.0000,13.8518,13.6429,11.3210,11.4873
Alfonso,-,-,-,15.6824,0.0000,15.1405,13.6672,13.3744,11.3680,11.5771
Angadanan,-,-,-,15.9601,0.0000,16.9002,16.9238,13.4423,11.2854,11.2819
