LGUs,Distance (km),Distance (mi)
Norzagaray,37.35,23.21
Noveleta,19.93,12.39
Nueva Era,372.03,231.17
Nueva Valencia,482.59,299.87
Numancia,352.08,218.77
Nunungan,820.17,509.63
Oas,309.9,192.57
Obando,15.16,9.42
Ocampo,283.17,175.95
Odiongan,266.02,165.3
Old Panamao,957.9,595.21
Olongapo,79.09,49.14
Olutanga,826.5,513.56
Omar,954.53,593.12
Opol,781,485.29
Orani,52.1,32.37
Oras,554.04,344.27
Orion,42.56,26.44
Ormoc,558.75,347.19
Oroquieta,742.38,461.29
Oslob,622.95,387.09
Oton,462.37,287.3
Ozamiz,782.34,486.12
Padada,1002.17,622.72
Padre Burgos (QN),118.12,73.39
Padre Burgos (SL),671.32,417.14
Padre Garcia,82.5,51.27
Paete,59.69,37.09
Pagadian,797.54,495.57
Pagagawan,938.54,583.18
Pagalungan,928.88,577.18
Pagayawan,829.11,515.19
Pagbilao,102.74,63.84
Paglat,959.84,596.42
Pagsanghan,500.84,311.21
Pagsanjan,62.18,38.64
Pagudpud,443.07,275.31
Pakil,58.69,36.47
Palanan,316.69,196.78
Palanas,418.5,260.05
Palapag,501.5,311.61
Palauig,148.6,92.33
Palayan,107.64,66.89
Palimbang,979.96,608.92
Palo,579.23,359.92
Palompon,539.27,335.08
Paluan,141.01,87.62
Pambujan,482.67,299.92
Pamplona (CG),432.05,268.46
Pamplona (CS),253.48,157.51
Pamplona (NR),615.32,382.34
Panabo,958.31,595.47
Panaon,758.62,471.38
Panay,390.07,242.38
Pandag,968.57,601.84
Pandami,1006.59,625.47
Pandan (AE),342.05,212.54
Pandan (CT),349.89,217.41
Pandi,29.94,18.6
Panganiban,366.28,227.59
Pangantucan,860.12,534.45
Pangil,56.76,35.27
Panglao,631.17,392.19
Panglima Estino,957.41,594.9
Panglima Sugala,1047.37,650.8
Pangutaran,922.46,573.19
Paniqui,128.08,79.58
Panitan,397.65,247.09
Pantabangan,137.5,85.44
Pantao Ragat,807.51,501.76
Pantar,806.32,501.03
Pantukan,992.59,616.77
Panukulan,106.28,66.04
Paoay,389.85,242.24
Paombong,34.78,21.61
Paracale,198.07,198.07
Paracelis,304.01,188.9
Paranaque,12.99,8.07
Paranas,538.55,334.64
Parang (MA),879.47,546.48
Parang (SU),965.28,599.79
Pasacao,252.79,157.07
Pasay,4.79,2.98
Pasig,11.66,7.25
Pasil,314.85,195.64
Passi,427.22,265.46
Pastrana,573.59,356.41
Pasuquin,419.02,260.37
Pata,973.01,604.6
Pateros,10.61,6.59
Patikul,944.53,586.9
Patnanungan,135.03,83.9
Patnongon,422.75,262.69
Pavia,457.87,284.51
Payao,804.99,500.19
Penablanca,354.26,220.13
Penaranda,85.58,53.18
Penarrubia,333.36,207.14
Perez,117.86,73.23
Piagapo,808.68,502.49
Piat,360.85,224.22
Picong,838.18,520.82
Piddig,399.35,248.14
Pigcawayan,895.11,556.2
Pikit,929.11,577.32
Pila,56.92,35.37
Pilar (AA),316.39,196.59
Pilar (BL),642.89,399.47
Pilar (BN),45.79,28.45
Pilar (CU),575.33,357.5
Pilar (CZ),408.21,253.65
Pilar (SN),761.76,473.33
Pilar (SO),620.76,385.72
Pili,273.11,169.7
Pililla,38.42,23.87
Pinabacdao,547.62,340.28
Pinamalayan,180.61,112.23
Pinamungajan,556.81,345.99
Pinan,735.42,456.97
Pinili,378.49,235.18
Pintuyan,694.03,431.25
Pinukpuk,340.36,211.49
Pio Duran,317.85,197.5
Pio V Corpuz,448.27,278.54
Pitogo (QN),150.55,93.55
Pitogo (ZR),834.12,518.3
Placer (MS),439.89,273.33
Placer (SN),744.67,462.72
Plaridel (BU),34.55,21.47
Plaridel (MC),728.24,452.51
Plaridel (QN),133.55,82.98
Pola,169.13,105.09
Polanco,723.72,449.7
Polangui,306.35,190.36
Polillo,104.81,65.13
Polomolok,1031.8,641.13
Pontevedra (CZ),397.17,246.79
Pontevedra (NO),513.18,318.87
Poona Bayabao,833.74,518.06
Poona Piagapo,798.87,496.39
Porac,71.44,44.39
Poro,576.23,358.05
Pototan,443.03,275.29
Pozorrubio,176.18,109.48
Presentacion,314.02,195.12
President Garcia,633.11,393.4
President Quirino,967.92,601.44
President Roxas (CZ),410.27,254.93
President Roxas (NC),939.68,583.89
Prieto Diaz,387.4,240.72
Prosperidad,855,531.27
Pualas,824.46,512.29
Pudtol,408.44,253.79
Puerto Galera,120.17,74.67
Puerto Princesa,590.59,366.97
Pugo,200.96,124.87
Pulilan,38.08,23.66
Pulupandan,494.96,307.55
Pura,120.97,75.17
Quezon (BK),886,550.53
Quezon (IA),309.63,192.39
Quezon (MM),10.38,6.45
Quezon (NE),108.05,67.14
Quezon (NV),213.1,132.41
Quezon (PN),675.73,419.88
Quezon (QN),101.37,62.99
Quinapondan,622.73,386.95
Quirino (IA),294.19,182.8
Quirino (IS),284.52,176.79
R.T. Lim,797.53,495.56
Ragay,213.36,132.58
Rajah Buayan,939.03,583.49
Ramon,251.94,156.55
Ramon Magsaysay,777.98,483.41
Ramos,125.81,78.18
Rapu-Rapu,373.95,232.36
Real,68.26,42.42
Reina Mercedes,282.61,175.61
Remedios T. Romualdez,793.83,493.26
Rizal (CG),363.72,226.01
Rizal (KA),329.82,204.94
Rizal (LA),70.53,43.83
Rizal (NE),124.72,77.5
Rizal (OM),237.52,147.59
Rizal (PN),767.34,476.8
Rizal (ZN),716.19,445.02
Rodriguez,23.99,14.91
Romblon,267.08,165.96
Ronda,574.12,356.74
Rosales,148.72,92.41
Rosario (AS),887.38,551.39
Rosario (BS),110.31,68.55
Rosario (CE),23.17,14.4
Rosario (LU),189.06,117.47
Rosario (NS),438.63,272.55
Roxas (CZ),382.06,237.4
Roxas (IA),288.64,179.35
Roxas (OR),231.12,143.61
Roxas (PN),507.73,315.49
Roxas (ZN),719.83,447.28
Sabangan,265.74,165.12
Sablan,219.18,136.19
Sablayan,194.62,120.93
Sabtang,646.61,401.78
Sadanga,287.46,178.62
Sagada,278.58,173.1
Sagay (CM),736.01,457.34
Sagay (NO),489.57,304.21
Sagbayan,619.88,385.17
Sagnay,295.49,183.61
Saguday,226.7,140.86
Saguiaran,811.81,504.43
Saint Bernard,655.84,407.52
Salay,759.5,471.93
Salcedo (ES),636.69,395.62
Salcedo (IS),287.43,178.6
Sallapadan,319.21,198.35
Salug,745.62,463.31
Salvador,803.38,499.2
Salvador Benedicto,507.7,315.47
Samal,50.89,31.62
Samboan,616.06,382.8
Sampaloc,85.38,53.05
San Agustin (RN),258.36,160.54
San Agustin (IA),227.44,141.33
San Agustin (SS),866.05,538.14
San Andres (CT),354.55,220.31
San Andres (QN),227.97,141.65
San Andres (RN),247.42,153.74
San Antonio (NE),79.63,49.48
San Antonio (NS),431.96,268.41
San Antonio (QN),87.1,54.12
San Antonio (ZA),102.93,63.96
San Benito,750.36,466.25
San Carlos (NO),528.81,328.59
San Carlos (PS),161.2,100.16
San Clemente,141.92,88.18
San Dionisio,429.03,266.58
San Emilio,296.5,184.24
San Enrique (IO),431.84,268.33
San Enrique (NO),507.73,315.49
San Esteban,310.66,193.04
San Fabian,181.61,112.85
San Felipe,110.83,68.86
San Fernando (BK),881.03,547.45
San Fernando (CS),260.34,161.77
San Fernando (CU),574.82,357.17
San Fernando (LU),235.66,146.43
San Fernando (MS),378.55,235.22
San Fernando (PA),57.08,35.47
San Fernando (RN),314.28,195.29
San Francisco (AS),872.33,542.04
San Francisco (CU),573.68,356.47
San Francisco (QN),216.64,134.62
San Francisco (SL),216.64,134.62
San Francisco (SN),745.92,463.49
San Gabriel,240.57,149.49
San Guillermo,267.59,166.27
San Ildefonso (BU),53.89,33.49
San Ildefonso (IS),342.68,212.93
San Isidro (AA),321.74,199.92
San Isidro (BL),617.99,384
San Isidro (DN),957.29,594.83
San Isidro (DO),"1,029.93",639.97
San Isidro (IA),248.04,154.13
San Isidro (LE),557.86,346.64
San Isidro (NE),79.85,49.62
San Isidro (NS),437.88,272.08
San Isidro (SN),757.32,470.57
San Jacinto (MS),373.5,232.08
San Jacinto (PS),174.36,108.34
San Joaquin,461.97,287.06
San Jorge,506.41,314.67
San Jose (AE),434.9,270.24
San Jose (BS),79.93,49.67
San Jose (CS),271.26,168.56
San Jose (DI),713.25,443.19
San Jose (NE),133.09,82.7
San Jose (NR),626.47,389.27
San Jose (NS),481.99,299.49
San Jose (OM),249.47,155.01
San Jose (RN),299.51,186.11
San Jose (TC),110.49,68.65
San Jose De Buan,520.72,323.56
San Jose Del Monte,29.32,18.22
San Juan (AA),347.47,215.91
San Juan (BS),96.78,60.13
San Juan (IS),354.35,220.18
San Juan (LU),240.7,149.56
San Juan (MM),0.7,0.44
San Juan (SL),664.46,412.88
San Juan (SR),671.06,416.97
San Julian,578.17,359.26
San Leonardo,87.04,54.09
San Lorenzo,480.09,298.32
San Lorenzo Ruiz,213.92,132.92
San Luis (AS),836.42,519.73
San Luis (AU),137.77,85.61
San Luis (BS),84.74,52.65
San Luis (PA),53.37,33.16
San Manuel (IA),279.48,173.66
San Manuel (PS),166.75,103.61
San Manuel (TC),139.69,86.8
San Marcelino,98.26,61.06
San Mariano,289.2,179.7
San Mateo (IA),262.46,163.09
San Mateo (RL),18.67,11.6
San Miguel (BL),629.13,390.93
San Miguel (BU),61.25,38.06
San Miguel (CT),373.69,232.2
San Miguel (IO),453.74,281.94
San Miguel (LE),541.2,336.28
San Miguel (SS),836.46,519.75
San Miguel (ZR),811.76,504.4
San Narciso (QN),159.35,99.01
San Narciso (ZA),107.21,66.62
San Nicolas (BS),75.43,46.87
San Nicolas (IN),400.18,248.66
San Nicolas (PS),165.69,102.95
San Pablo (IA),329.26,204.59
San Pablo (LA),69.19,42.99
San Pablo (ZR),817.36,507.88
San Pascual (BS),90.29,56.1
San Pascual (MS),269.78,167.63
San Pedro,25.16,15.64
San Policarpo,558.35,346.95
San Quintin (AA),331.42,205.93
San Quintin (PS),155.51,96.63
San Rafael (BU),48.11,29.89
San Rafael (IO),460.98,286.44
San Remigio (AE),429.2,266.7
San Remigio (CU),505.36,314
San Ricardo,698.88,434.27
San Roque,478.86,297.55
San Sebastian,545.61,339.02
San Simon,50.52,31.39
San Teodoro,127.45,79.19
San Vicente (CN),211.25,131.26
San Vicente (IS),339.65,211.05
San Vicente (NS),419.37,260.59
San Vicente (PN),490.04,304.49
Sanchez-Mira,442.92,275.22
Santa,327.96,203.78
Santa Ana (CG),447.69,278.18
Santa Ana (PA),60.08,37.33
Santa Barbara (IO),451.54,280.57
Santa Barbara (PS),167.89,104.32
Santa Catalina (IS),339.34,210.85
Santa Catalina (NR),627.83,390.12
Santa Cruz (DS),989.61,614.92
Santa Cruz (IS),282.46,175.51
Santa Cruz (LA),37.3,23.17
Santa Cruz (ME),168.19,104.51
Santa Cruz (OM),171.37,106.48
Santa Cruz (ZA),173.21,107.63
Santa Elena,158.96,98.77
Santa Fe (CU),490.02,304.49
Santa Fe (LE),572.77,355.9
Santa Fe (NV),174.08,108.17
Santa Fe (RN),292.44,181.71
Santa Ignacia,128.69,79.96
Santa Josefa,913.12,567.39
Santa Lucia,287.3,178.52
Santa Magdalena,401.2,249.3
Santa Marcela,414.95,257.84
Santa Margarita,488.74,303.69
Santa Maria (BU),25.16,15.63
Santa Maria (DS),"1,021.41",634.67
Santa Maria (IA),330.38,205.29
Santa Maria (Imelda),273.53,169.97
Santa Maria (IS),313.11,194.56
Santa Maria (LA),48.35,30.04
Santa Maria (PS),156.79,97.43
Santa Monica,748.25,464.94
Santa Praxedes,442.76,275.12
Santa Rita (PA),59.32,36.86
Santa Rita (WS),553.59,343.99
Santa Rosa (LA),37.87,23.53
Santa Rosa (NE),92.37,57.4
Santa Teresita (BS),81.03,50.35
Santa Teresita (CG),418.33,259.94
Santander,627.14,389.69
Santiago (AN),774.25,481.1
Santiago (IA),237.36,147.49
Santiago (IS),305.5,189.83
Santo Domingo (AY),337.74,209.86
Santo Domingo (IS),343.89,213.69
Santo Domingo (NE),110.77,68.83
Santo Nino (CG),371.12,230.6
Santo Nino (SC),992.69,616.83
Santo Nino (WS),478.92,297.59
Santo Tomas (DN),934.95,580.95
Santo Tomas (BS),62.34,38.73
Santo Tomas (IA),323.05,200.74
Santo Tomas (LU),198.06,123.07
Santo Tomas (PA),53.62,33.32
Santo Tomas (PS),148.77,92.44
Santol,249.62,155.1
Sapa-Sapa,1052.76,654.15
Sapad,813.18,505.28
Sapang Dalaga,727.7,452.17
Sapi-An,385.98,239.84
Sara,431.14,267.9
Sarangani,1054.2,655.05
Sariaya,93.27,57.96
Sarrat,399.08,247.97
Sasmuan,54.64,33.95
Science City of Munoz,125.94,78.25
Sebaste,354.51,220.28
Senator Ninoy Aquino,979.5,608.64
Sergio Osmena,748.94,465.37
Sevilla,636.94,395.78
Shariff Aguak,935.48,581.28
Shariff Saydona Mustapha,939.05,583.5
Siasi,1003.5,623.55
Siaton,653.34,405.96
Siay,791.86,492.04
Siayan,762.37,473.71
Sibagat,821.2,510.27
Sibalom,436.96,271.51
Sibonga,583.05,362.29
Sibuco,826.98,513.86
Sibulan,632.7,393.14
Sibunag,483.21,300.25
Sibutad,717.6,445.9
Sibutu,1102.74,1102.74
Sierra Bullones,641.59,398.67
Sigay,276.82,172.01
Sigma,396.48,246.36
Sikatuna,635.49,394.88
Silago,644.84,400.69
Silang,40,24.86
Silay,473.3,294.09
Silvino Lobos,488.28,303.4
Simunul,1085.09,674.25
Sinacaban,766.73,476.42
Sinait,368.93,229.24
Sindangan,739.07,459.23
Siniloan,53.75,33.4
Siocon,775.48,481.86
Sipalay,560.71,348.41
Sipocot,234.26,145.56
Siquijor,657.86,408.77
Sirawai,788.14,489.73
Siruma,253.98,157.82
Sison (PS),182.45,113.37
Sison (SN),738.77,459.05
Sitangkai,1109.89,689.65
Socorro (OR),177.21,110.11
Socorro (SN),770.75,478.92
Sofronio Espanola,704.47,437.74
Sogod (CU),539.05,334.95
Sogod (SL),638.48,396.73
Solana,349.62,217.25
Solano,216.32,134.41
Solsona,391.2,243.08
Sominot,773.42,480.58
Sorsogon,372.72,231.6
South Ubian,1042.67,647.88
South Upi,926.13,575.47
Sual,189.89,117.99
Subic,86.07,53.48
Sudipen,264.28,164.22
Sugbongcogon,750.69,466.45
Sugpon,256.24,159.22
Sulat,574.14,356.75
Sulop,1006.53,625.43
Sultan Dumalondong,858.74,533.6
Sultan Kudarat,892,554.26
Sultan Mastura,886.34,550.75
Sultan Naga Dimaporo,820.3,509.71
Sultan Sa Barongis,943.24,586.1
Sumilao,816.05,507.07
Sumisip,914.35,568.15
Surallah,1001.27,622.16
Surigao,724.78,450.36
Suyo,269.13,167.23
Taal,78.47,48.76
Tabaco,327,203.19
Tabango,515.24,320.16
Tabina,838.98,521.32
Tabogon,522.94,324.94
Tabontabon,580.92,360.96
Tabuan-Lasa,926.86,575.92
Tabuelan,522.65,324.76
Tabuk,325.77,202.42
Tacloban,572.33,355.63
Tacurong,965.58,599.99
Tadian,268.73,166.98
Taft,565.68,351.5
Tagana-An,739.54,459.53
Tagapul-An,445.04,276.53
Tagaytay,54.28,33.73
Tagbilaran,630.28,391.64
Tagbina,884.42,549.55
Tagkawayan,181.98,113.08
Tago,839.92,521.9
Tagoloan (LN),802.69,498.77
Tagoloan (MO),788.93,490.22
Tagoloan II,813.31,505.37
Tagudin,267.54,166.24
Taguig,11.91,7.4
Tagum,952.55,591.89
Talacogon,863.78,536.73
Talaingod,904.43,561.99
Talakag,835.24,518.99
Talalora,538.75,334.76
Talavera,111.51,69.29
Talayan,923.81,574.03
Talibon,612.63,380.67
Talipao,958.25,595.43
Talisay (CN),215.86,134.13
Talisay (CU),575.26,357.45
Talisay (BS),56.06,34.83
Talisay (NO),480.15,298.35
Talisayan,752.88,467.82
Talitay,915.66,568.97
Talugtug,134.18,83.37
Talusan,831.78,516.84
Tambulig,776.04,482.21
Tampakan,1002.57,622.97
Tamparan,830.75,516.21
Tampilisan,756.28,469.93
Tanauan (BS),59.5,36.97
Tanauan (LE),584.96,363.48
Tanay,34.67,21.54
Tandag,835.06,518.88
Tandubas,1044.19,648.83
Tangalan,341.73,212.34
Tangcal,806.97,501.43
Tangub,785.73,488.23
Tanjay,607.86,377.71
Tantangan,983.33,611.01
Tanudan,301.35,187.25
Tanza,24.69,15.34
Tapaz,406.14,252.36
Tapul,983.4,611.06
Taraka,828,514.5
Tarangnan,513.64,319.16
Tarlac,106.78,66.35
Tarragona,1029.34,639.6
Tayabas,91.14,56.63
Tayasan,570.32,354.38
Taysan,90.61,56.3
Taytay (PN),424.73,263.92
Taytay (RL),17.11,10.63
Tayug,162.62,101.05
Tayum,339.34,210.85
Teresa,25.55,15.88
Ternate,43.11,26.79
Tiaong,77.85,48.37
Tibiao,383.65,238.39
Tigaon,291.87,181.36
Tigbao,791.31,491.7
Tigbauan,460.44,286.11
Tinambac,267.31,166.1
Tineg,362.88,225.49
Tinglayan,298.92,185.74
Tingloy,103.14,64.09
Tinoc,229.52,142.62
Tipo-Tipo,909.18,564.94
Titay,766.34,476.18
Tiwi,317.37,197.21
Tobias Fornier,464,464
Toboso,510.92,317.47
Toledo,549.65,341.54
Tolosa,588.89,365.92
Tomas Oppus,644.83,400.68
Tongkil,954.01,592.79
Torrijos,184.53,114.66
Trece Martires,35.5,22.06
Trento,914.37,568.16
Trinidad,620.09,385.31
Tuao,354.78,220.45
Tuba,206.13,128.08
Tubajon,691.04,429.39
Tubao,205.15,127.47
Tubaran,840.66,522.36
Tubay,780.67,485.09
Tubigon,608.76,378.27
Tublay,217.98,135.44
Tubo,290.04,180.22
Tubod (LN),789.01,490.27
Tubod (SN),750.4,466.28
Tubungan,448.74,278.83
Tuburan (BA),898.06,558.03
Tuburan (CU),529.16,328.8
Tudela (CU),580.65,360.8
Tudela (MC),772.27,479.87
Tugaya,821.71,510.58
Tuguegarao,346.94,215.58
Tukuran,800.32,497.3
Tulunan,962.05,597.79
Tumauini,312.32,194.07
Tunga,552.62,343.38
Tungawan,792.25,492.28
Tupi,1014.97,630.67
Turtle Islands,969.77,602.59
Tuy,68.16,42.35
Ubay,630.3,391.65
Umingan,150.42,93.47
Ungkaya Pukan,905.93,562.92
Upi,905.09,562.4
Urbiztondo,154.42,95.95
Urdaneta,161.01,100.05
Uson,403.62,250.8
Uyugan,653.02,405.77
Valderrama,417.15,259.2
Valencia (BK),866.41,538.36
Valencia (BL),655.93,407.57
Valenzuela,12.94,8.04
Valladolid,501.11,311.37
Vallehermoso,536.92,333.63
Veruela,908.75,564.67
Victoria (LA),55.64,34.57
Victoria (NS),432.59,268.8
Victoria (OR),226.04,140.46
Victoria (TC),113.77,70.7
Victorias,468.28,290.97
Viga,365.47,227.09
Vigan,336.6,209.16
Villaba,526.84,327.36
Villanueva,784.38,487.39
Villareal,548.6,340.89
Villasis,152.38,94.69
Villaverde,226.12,140.5
Villaviciosa,319.68,198.64
Vincenzo A Sagun,819.66,509.31
Vintar,407.14,252.98
Vinzons,213.08,132.4
Virac,368.28,228.84
Zamboanga,862.07,535.67
Zamboanguita,655.68,407.42
Zaragoza,96.87,60.19
Zarraga,454.13,282.18
Zumarraga,531.38,330.19
