LGUs,Distance (km),Distance (mi)
Bontoc (MP),392,244
Bontoc (SL),640.82,398.19
Borbon,527.51,327.78
Borongan,582.93,362.22
Boston,952.06,591.58
Botolan,123.57,76.79
Braulio E. Dujali,943.31,586.15
Buadiposo-Buntong,822.66,511.18
Bubong,820.5,509.83
Bucay,329.99,205.05
Bucloc,318.18,197.71
Buenavista (AN),789.96,490.86
Buenavista (BL),607.1,377.23
Buenavista (GS),473.22,294.05
Buenavista (ME),182.35,113.31
Bugallon,172.85,107.4
Bugasong,410.58,255.12
Buguey,418.04,259.76
Buguias,238.14,147.98
Buhi,302.56,188
Bula,277.59,172.49
Bulakan,961.85,597.66
Bulalacao,253.74,157.67
Bulan,961.85,597.66
Buldon,879.44,546.46
Buluan,970.38,602.97
Bulusan,397.47,246.98
Bunawan,901.37,560.08
Burauen,584.28,363.06
Burdeos,110.12,68.42
Burgos (IA),284.86,177
Burgos (IN),76.1,47.28
Burgos (IS),305.97,190.12
Burgos (LU),221.07,137.37
Burgos (PS),201.92,125.47
Burgos (SN),103.53,64.33
Buruanga,320.15,198.93
Bustos,41.53,25.81
Busuanga,294.7,183.12
Butig,839.76,521.8
Butuan,799.02,496.49
Buug,795.31,494.18
Caba,216.35,134.43
Cabadbaran,783.71,486.97
Cabagan,327.34,203.4
Cabanglasan,864,536.86
Cabarroguis,223.98,139.17
Cabatuan (IA),272.59,169.38
Cabatuan (IO),444.11,275.96
Cabiao,75.19,46.72
Cabucgayan,521.12,323.81
Cabugao,361.45,224.6
Cabusao,249.51,155.04
Cadiz,476.8,296.27
Cagayan De Oro,789.64,490.66
Cagayancillo,554.21,344.37
Cagdianao,727.14,451.83
Cagwait,856.09,531.95
Caibiran,514.33,319.59
Cainta,15.73,9.78
Cajidiocan,307.92,191.33
Calabanga,259.67,161.35
Calaca,74.81,46.48
Calamba (LA),47.13,29.29
Calamba (MC),731.33,454.43
Calanasan,408.44,253.79
Calanogas,831.45,516.64
Calapan,131.89,81.95
Calape,609.3,378.6
Calasiao,171.82,106.76
Calatagan,91.14,56.63
Calatrava (NO),520.93,323.69
Calatrava (RN),249.38,154.96
Calauag,157.55,97.9
Calauan,60.73,37.74
Calayan,523.66,325.39
Calbayog,480.95,298.85
Calbiga,547.37,340.12
Calinog,420.25,261.13
Calintaan,220.77,137.18
Calubian,510.96,317.49
Calumpit,42.9,26.65
Caluya,308.01,191.39
Camalaniugan,416.22,258.63
Camalig,328.75,204.28
Camaligan,258.91,160.88
Camiling,136.82,85.01
Can-Avid,563,349.83
Canaman,258.63,160.71
Candaba,58.84,36.56
Candelaria (QN),88.02,54.7
Candelaria (ZA),160.8,99.92
Candijay,653.5,406.07
Candon,295.6,183.68
Candoni,558.59,347.09
Canlaon,526.24,326.99
Cantilan,799.53,496.8
Caoayan,335.71,208.6
Capalonga,165.96,103.12
Capas,93.78,58.27
Capoocan,540.13,335.62
Capul,421.06,261.64
Caraga,1011.19,628.32
Caramoan,324.2,201.45
Caramoran,348.42,216.5
Carasi,403.32,250.61
Carcar,576.08,357.96
Cardona,29.6,18.39
Carigara,543.37,337.64
Carles,416.88,259.04
Carmen (AN),780.41,484.92
Carmen (BL),635.36,394.79
Carmen (CU),554.42,344.5
Carmen (DN),955.9,593.97
Carmen (NC),921.28,572.46
Carmen (SS),809.83,503.21
Carmona,31.18,19.37
Carranglan,153.25,95.23
Carrascal,792.89,492.68
Casiguran (AU),212.07,131.78
Casiguran (SO),379.24,235.65
Castilla,352.72,219.17
Castillejos,90.55,56.27
Cataingan,435.38,270.54
Catanauan,182.21,113.22
Catarman (CM),724.38,450.11
Catarman (NS),458.97,285.19
Catbalogan,525.79,326.71
Cateel,962.86,598.29
Catigbian,619.66,385.04
Catmon,541.1,336.23
Catubig,502.83,312.44
Cauayan (IA),273.85,170.16
Cauayan (NO),538.61,334.67
Cavinti,68.43,42.52
Cawayan,422.21,262.35
Cavite,14.68,9.12
Cebu,572.23,355.57
Cervantes,268.94,167.11
Clarin (BL),612.2,380.4
Clarin (MC),777.38,483.04
Claver,760.03,472.26
Claveria (CG),446.49,277.43
Claveria (MO),790.04,490.91
Claveria (MS),311.94,193.83
Columbio,989.23,614.68
Compostela (CU),566.08,351.75
Compostela (DDO),950.49,590.6
Concepcion,743.51,461.99
Concepcion (IO),440.93,273.98
Concepcion (RN),203.23,126.28
Concepcion (TC),88.21,54.81
Conner,359.3,223.26
Consolacion,569.07,353.6
Corcuera,229.05,142.32
Cordon,238.13,147.97
Cordova,579.9,360.33
Corella,631.7,392.52
Coron,299.29,185.97
Cortes (BL),626.82,389.49
Cortes (SS),819.25,509.06
Cotabato,893.19,555
Cuartero,404.46,251.32
Cuenca,76.39,47.46
Culaba,504.7,313.6
Culasi,370.02,229.92
Culion,323.5,201.02
Currimao,385.82,239.74
Cuyapo,137.09,85.19
Cuyo,416.97,259.1
Daan Bantayan,497.59,309.19
Daet,218.9,136.02
Dagami,574.06,356.71
Dagohoy,633.55,393.67
Daguioman,319.91,198.79
Dagupan,176.4,109.61
Dalaguete,603.89,375.24
Damulog,899.36,558.84
Danao (BL),625.7,388.79
Danao (CU),560.68,348.39
Dangcagan,890.99,553.64
Danglas,351.41,218.36
Dao,400.02,248.56
Dapa,769.55,478.18
Dapitan,710.94,441.76
Daraga,338.74,210.48
Daram,520.35,323.33
Dasmarinas,28.76,17.87
Dasol,195.83,121.68
Datu Abdullah Sangki,949.38,589.92
Datu Anggal Midtimbang,919.05,571.07
Datu Blah Sinsuat,910.93,566.02
Datu Hoffer Ampatuan,937.34,582.44
Datu Odin Sinsuat,916.16,569.28
Datu Paglas,966.87,600.78
Datu Piang,924.21,574.27
Datu Salibo,928.62,577.02
Datu Saudi-Ampatuan,930.02,577.89
Datu Unsay,932.92,579.69
Dauin,649.18,403.38
Davao,977.46,607.37
Del Carmen,754.81,469.02
Del Gallego,189.48,117.74
Delfin Albano,314.71,195.55
Diadi,234.89,145.95
Diffun,230.71,143.35
Digos,993.52,617.35
Dilasag,241.04,149.78
Dimasalang,409.74,254.6
Dimataling,811.56,504.28
Dimiao,652.77,405.61
Dinagat,718.21,446.28
Dinalungan,202.93,126.09
Dinalupihan,63.38,39.38
Dinapigue,256.37,159.3
Dinas,816.74,507.5
Dingalan,100.11,62.21
Dingle,437.98,272.15
Dingras,391.67,243.37
Dipaculao,168.77,104.87
Diplahan,796.68,495.03
Dipolog,717.15,445.61
Ditsaan-Ramain,819.42,509.16
Divilacan,337.02,209.41
Dolores (AA),340.14,211.35
Dolores (ES),564.24,350.6
Dolores (QN),78.83,48.98
Don Carlos,883.71,549.11
Don Marcelino,1069.56,664.59
Don Victoriano Chiongbian,756.97,470.36
Dona Remedios Trinidad,44.28,27.51
Donsol,338.8,210.52
Duenas,430.05,267.22
Duero,657.67,408.66
Dulag,596.9,370.9
Dumaguete,639.71,397.49
Dumalag,405.99,252.27
Dumalinao,774.49,481.24
Dumalneg,438.45,272.44
