PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aparri,13.8482,12.8564,10.9318,10.6883,0.0000,10.2495,10.4375,9.4363,7.8758,8.2217
Araceli,-,-,-,-,0.0000,0.1372,10.2212,6.8958,5.8724,5.9765
Arakan,7.2594,16.3990,11.8212,11.3416,0.0000,10.4660,10.5558,9.1748,7.9345,9.1791
Arayat,-,-,1.7750,4.2322,0.0000,10.2475,10.1149,9.6801,8.2078,9.2718
Argao,13.7158,18.6372,13.0019,9.3240,0.0000,11.2007,10.8086,10.1687,8.0478,9.8350
Aringay,14.5116,15.2843,11.4439,9.0010,0.0000,9.8078,9.5519,9.3087,6.7895,9.6269
Aritao,-,-,6.3772,8.5825,0.0000,10.2827,9.6439,9.3004,6.6295,8.6397
Aroroy,8.1641,14.7129,7.8965,5.3798,0.0000,6.6221,8.5105,7.5560,6.8672,6.5027
Arteche,-,-,-,7.8319,0.0000,7.5032,8.4379,9.2222,8.2334,8.9432
Asingan,-,-,6.1241,7.2121,0.0000,9.6932,10.4952,9.8235,8.5076,9.4765
Asipulo,-,-,4.9577,6.2065,0.0000,8.4081,10.1432,9.8887,7.7564,8.1995
Asturias,-,11.6192,11.3533,8.6187,0.0000,12.1697,8.4442,8.0711,4.6596,7.2058
Asuncion,16.7499,15.6734,9.2051,7.7463,0.0000,9.7211,9.6353,9.4968,7.9692,9.4188
Atimonan,12.2509,16.1326,10.0453,11.2442,0.0000,9.9698,10.2846,8.7178,8.0335,9.2400
Atok,-,15.6294,10.0105,5.6451,0.0000,5.6509,5.5625,6.9290,6.2510,6.2494
Aurora (IA),-,13.4709,8.0591,11.1841,0.0000,11.0200,11.3543,9.5265,9.1121,8.5951
Aurora (ZR),16.9112,16.3054,10.6826,3.7374,0.0000,0.2480,6.3024,9.7538,7.9145,8.7514
Ayungon,-,13.3562,6.1587,8.6354,0.0000,9.0641,7.0410,6.5330,3.6446,4.7095
Agdangan,-,-,11.7939,11.5272,0.0000,10.6419,11.0321,9.9728,7.0739,7.3486
Aglipay,-,-,8.8775,11.1779,0.0000,11.0188,10.7846,9.0161,8.3488,8.2502
Agoncillo,-,-,7.6197,8.0357,0.0000,9.6434,8.6514,6.9304,8.1888,8.2051
Agoo,18.6664,20.2380,13.7256,11.4780,0.0000,11.1018,11.4856,11.3248,7.6957,10.7969
Agutaya,-,-,-,-,0.0000,0.1284,6.8899,7.5919,4.2637,4.9423
Alabel,16.2757,15.6727,10.9378,11.7434,0.0000,11.7106,11.5240,10.4320,8.2651,11.8321
Alcala (PS),-,-,4.0067,9.2073,0.0000,11.5972,11.6035,9.6557,7.0729,7.6115
Alcantara (RN),3.6422,7.9144,4.2310,5.1849,0.0000,0.1556,7.0204,9.5675,6.4337,8.8337
Alfonso,13.4196,13.6013,5.8272,10.8640,0.0000,8.8373,9.4637,8.4003,6.9923,9.8682
Angadanan,-,13.4039,0.0870,9.4402,0.0000,11.6054,11.3676,9.5331,8.3249,8.6098
