PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aparri,8.1744,8.3574,7.0641,4.7193,0.0000,4.2909,4.6313,4.2291,4.3322,3.3014
Araceli,-,-,-,-,0.0000,1.7980,2.7844,3.8442,4.1380,2.5919
Arakan,3.4446,6.1282,6.6181,3.8852,0.0000,2.8469,4.5275,3.3572,3.9181,2.9027
Arayat,-,-,3.8211,3.0380,0.0000,4.7439,4.5631,4.3440,4.6586,3.3188
Argao,7.0547,8.0524,7.2561,4.8857,0.0000,4.1239,5.7666,6.5455,4.5346,4.2854
Aringay,4.8387,8.0553,7.6927,4.2834,0.0000,4.3059,4.9757,4.8959,3.9693,4.3114
Aritao,-,-,4.6339,4.6821,0.0000,4.0544,7.5153,3.6874,4.2438,3.3868
Aroroy,4.4565,6.8880,7.7739,4.4533,0.0000,2.4422,3.6632,4.2791,4.2589,3.2815
Arteche,-,-,-,2.7107,0.0000,2.4670,5.1910,4.4236,4.4077,3.0759
Asingan,-,-,6.6142,4.5907,0.0000,3.0612,4.1905,4.8405,4.1903,3.1225
Asipulo,-,-,7.4725,2.8328,0.0000,4.4154,4.1123,4.9597,4.4499,3.8589
Asturias,-,11.0154,8.0208,3.7988,0.0000,4.9564,6.6647,6.5084,5.0327,4.0211
Asuncion,6.6060,6.6319,5.5684,4.2718,0.0000,3.6080,3.9787,4.3912,4.3838,3.3898
Atimonan,8.2755,7.7667,8.0472,4.6756,0.0000,3.7383,4.7358,4.3932,4.5705,3.5959
Atok,-,9.0841,8.8391,4.4679,0.0000,3.3219,5.9773,4.5591,3.8819,3.0549
Aurora (IA),-,11.2833,8.5927,4.2789,0.0000,5.6998,6.1082,4.2653,5.4635,4.3030
Aurora (ZR),6.0897,9.7648,5.7057,3.6796,0.0000,0.8954,4.6706,6.0644,4.0797,3.5053
Ayungon,-,7.3219,6.0577,3.6316,0.0000,2.5844,4.4397,7.3833,4.0815,2.7435
Agdangan,-,-,7.7009,3.9843,0.0000,4.3183,5.4430,5.5469,5.5531,4.6464
Aglipay,-,-,6.5469,3.8786,0.0000,5.0752,6.0423,4.7942,5.3080,3.5993
Agoncillo,-,-,5.7473,6.2396,0.0000,4.2151,4.9142,4.6850,4.7406,3.2459
Agoo,4.2850,9.7278,8.8916,6.5749,0.0000,5.5954,6.9941,6.4485,5.3617,4.8302
Agutaya,-,-,-,-,0.0000,2.7533,0.6794,5.5960,4.2403,2.9016
Alabel,8.4593,6.8365,7.2698,5.0242,0.0000,4.2653,4.0351,4.8833,4.7137,4.3164
Alcala (PS),-,-,6.1640,3.7867,0.0000,4.5946,5.9832,5.4409,5.2707,4.0338
Alcantara (RN),5.0950,8.4501,5.7819,3.6942,0.0000,2.8421,2.9582,4.8494,2.4472,3.3268
Alfonso,7.8611,7.6490,7.1770,4.7592,0.0000,4.8942,4.1454,4.3844,4.5454,4.0050
Angadanan,-,6.2398,3.9298,3.4896,0.0000,4.9430,6.4164,4.0516,5.3038,3.8500
