PROVINCE / LGU,Distance (km),Distance (mi),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Angadanan,265.19,164.78,-,-,-,15.9601,0,16.9002,16.9238,13.4423,11.2854,11.2819
Angat,41.86,26.01,-,-,-,14.415,0,15.2211,16.7166,13.4136,11.3892,10.9146
Angeles,72.78,45.22,-,-,-,18.0496,17.4978,15.8285,16.5206,13.3179,11.3744,11.3456
Angono,20.33,12.63,-,-,-,17.4318,0,17.1667,18.0668,14.7894,12.2254,12.1808
Anilao,444.65,276.29,-,-,-,14.3859,0,15.674,16.8849,13.4383,11.3367,11.3501
Anini-Y,473.43,294.18,-,-,-,0,0,14.9631,15.5596,10.6087,9.3382,10.7422
Antequera,623.07,387.16,-,-,-,16.1129,0,15.8235,16.8407,13.3673,11.2993,9.1939
Antipas,929.43,577.52,-,-,-,15.5424,0,16.86,17.205,14.006,11.7641,11.742
Antipolo,21.07,13.09,-,-,-,17.5155,17.8449,20.4557,19.3501,14.738,13.2348,13.2978
Apalit,46.87,29.13,-,-,-,12.8772,0,16.5925,16.9292,13.2915,11.3507,11.1202
Aparri,425.5,264.39,-,-,-,16.0985,0,16.4197,16.9397,13.3198,11.3081,11.1983
Araceli,922.93,573.48,-,-,-,-,0,0,13.6338,12.4193,11.0106,10.3066
Arakan,462.04,287.1,-,-,-,15.9258,0,16.1712,15.8433,13.2463,11.3188,11.0607
Arayat,66.79,41.5,-,-,-,2.5021,0,15.9741,16.9647,13.3197,11.3186,11.2937
Argao,595.53,370.05,-,-,-,16.2779,0,15.7902,17.1506,13.5547,11.4767,11.5758
Aringay,212.52,132.06,-,-,-,16.0777,0,16.7484,17.0335,13.891,11.7017,11.6367
Aritao,190.92,118.63,-,-,-,16.0426,0,15.6316,17.0621,13.4211,11.2999,11.4996
Aroroy,348.64,216.63,-,-,-,16.0495,0,16.9176,17.3706,13.4839,11.4531,11.3659
Arteche,546.48,339.57,-,-,-,15.0278,0,15.8162,16.5372,12.8532,11.1027,10.336
Asingan,161.23,100.19,-,-,-,10.9034,0,16.5999,16.4473,13.5805,11.6834,11.6294
Asipulo,238.06,147.93,-,-,-,10.6005,0,15.4954,16.754,14.0159,11.7399,11.1561
Asturias,536.45,333.34,-,-,-,16.1742,0,17.1058,17.0184,13.4986,11.4484,11.5085
Asuncion,942.44,585.61,-,-,-,15.813,0,15.5503,16.3825,13.3581,11.3462,11.3446
Atimonan,120.49,74.87,-,-,-,16.1354,0,16.8026,17.0757,13.6076,11.379,11.2345
Atok,228.49,141.98,-,-,-,12.8679,0,13.4676,14.0111,13.1054,10.5272,10.1147
Aurora (IA),275.02,170.89,-,-,-,16.0696,0,16.8147,16.9628,13.4923,11.3083,11.219
Aurora (ZR),792.33,275.02,-,-,-,7.9105,0,13.5696,15.8392,13.3397,10.3278,11.0977
Ayungon,575.67,357.71,-,-,-,16.0529,0,16.5346,16.9181,11.9708,10.0062,10.2202
Baao,286.84,178.24,-,-,-,15.9648,0,15.4415,15.8289,12.6381,10.3894,11.1015
Babatngon,547.14,339.98,-,-,-,14.5856,0,11.4866,15.7641,12.7785,9.5558,10.8302
Bacacay,336.1,208.84,-,-,-,9.0534,0,15.8195,17.1162,13.6876,11.4241,10.8103
Bacarra,411.37,255.61,-,-,-,16.6414,0,16.8175,17.1714,14.0286,11.8168,11.8521
Baclayon,637.31,396,-,-,-,12.907,0,15.9144,13.9249,10.7824,11.0007,9.7031
Bacnotan,246.96,153.45,-,-,-,13.3178,0,17.0182,17.4414,14.2823,12.2125,12.7213
Bacolod (LN),786.4,488.64,-,-,-,16.1932,0,15.3419,16.9883,13.5878,11.4231,11.5648
Bacolod (NO),486.17,302.09,-,-,-,17.5216,19.0397,16.8666,17.4401,13.5355,12.1104,12.0685
Bacolod-Kalawi,823.68,511.81,-,-,-,-,-,-,-,12.5474,10.8629,11.4124
Bacolor,57.83,35.94,-,-,-,16.2782,0,16.279,16.8666,13.4543,11.3317,11.307
Bacong,644.75,400.63,-,-,-,15.8832,0,16.224,13.8724,9.8823,7.3717,9.8375
Bacungan Leon B. Postigo,747.41,464.42,-,-,-,0.0077,0,15.6109,16.4433,12.9578,9.2844,10.8521
Badian,586.43,364.39,-,-,-,16.5919,0,17.7906,17.8466,13.6451,11.3919,11.3477
