PROVINCE / LGU,Distance (km),Distance (mi),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Amulung,370.8,230.4,-,6.7912,6.4845,3.3407,0,4.186,4.0795,3.5157,4.1192,2.8175
Anahawan,667.58,414.82,-,-,-,1.3567,0,3.9149,5.0482,3.8443,3.0032,1.6609
Anao,132.91,82.58,-,3.7632,6.0388,4.2301,0,4.3912,5.4928,4.9838,4.9878,4.4225
Anda (BL),666.91,414.4,-,7.2349,7.6668,3.7919,0,3.7938,6.2357,7.1974,4.2202,3.1807
Anda (PS),217.69,135.27,-,-,5.5119,3.4786,0,4.2752,6.4676,6.2497,5.6526,4.6271
Angadanan,265.19,164.78,-,6.2398,3.9298,3.4896,0,4.943,6.4164,4.0516,5.3038,3.85
Angat,41.86,26.01,5.5613,6.1206,6.1683,3.0129,0,3.3109,3.6909,4.0699,4.2591,3.4002
Angeles,72.78,45.22,7.3974,8.5806,8.1949,5.7054,3.2182,5.4478,4.8816,4.1057,4.6505,3.5827
Angono,20.33,12.63,9.7003,9.9315,10.1859,7.0491,0,6.442,6.341,7.0108,5.9717,5.0382
Anilao,444.65,276.29,-,8.4546,5.9193,2.8051,0,4.3975,5.7408,4.794,4.3403,3.5874
Anini-Y,473.43,294.18,-,-,5.4243,2.3465,0,4.8695,6.4079,4.9714,5.219,2.4869
Antequera,623.07,387.16,-,6.7408,8.0638,4.1558,0,4.4059,6.5507,5.9142,4.8228,3.0882
Antipas,929.43,577.52,3.6075,7.3675,7.4895,4.5013,0,3.3649,5.0834,3.9385,4.4456,3.9702
Antipolo,21.07,13.09,9.886,11.7304,15.5802,8.5593,8.8809,9.7776,11.8419,10.6333,7.7979,6.8841
Apalit,46.87,29.13,-,-,7.3858,5.0242,0,5.1845,4.5366,4.6573,4.7313,3.4094
Aparri,425.5,264.39,8.1744,8.3574,7.0641,4.7193,0,4.2909,4.6313,4.2291,4.3322,3.3014
Araceli,922.93,573.48,-,-,-,-,0,1.798,2.7844,3.8442,4.138,2.5919
Arakan,462.04,287.1,3.4446,6.1282,6.6181,3.8852,0,2.8469,4.5275,3.3572,3.9181,2.9027
Arayat,66.79,41.5,-,-,3.8211,3.038,0,4.7439,4.5631,4.344,4.6586,3.3188
Argao,595.53,370.05,7.0547,8.0524,7.2561,4.8857,0,4.1239,5.7666,6.5455,4.5346,4.2854
Aringay,212.52,132.06,4.8387,8.0553,7.6927,4.2834,0,4.3059,4.9757,4.8959,3.9693,4.3114
Aritao,190.92,118.63,-,-,4.6339,4.6821,0,4.0544,7.5153,3.6874,4.2438,3.3868
Aroroy,348.64,216.63,4.4565,6.888,7.7739,4.4533,0,2.4422,3.6632,4.2791,4.2589,3.2815
Arteche,546.48,339.57,-,-,-,2.7107,0,2.467,5.191,4.4236,4.4077,3.0759
Asingan,161.23,100.19,-,-,6.6142,4.5907,0,3.0612,4.1905,4.8405,4.1903,3.1225
Asipulo,238.06,147.93,-,-,7.4725,2.8328,0,4.4154,4.1123,4.9597,4.4499,3.8589
Asturias,536.45,333.34,-,11.0154,8.0208,3.7988,0,4.9564,6.6647,6.5084,5.0327,4.0211
Asuncion,942.44,585.61,6.606,6.6319,5.5684,4.2718,0,3.608,3.9787,4.3912,4.3838,3.3898
Atimonan,120.49,74.87,8.2755,7.7667,8.0472,4.6756,0,3.7383,4.7358,4.3932,4.5705,3.5959
Atok,228.49,141.98,-,9.0841,8.8391,4.4679,0,3.3219,5.9773,4.5591,3.8819,3.0549
Aurora (IA),275.02,170.89,-,11.2833,8.5927,4.2789,0,5.6998,6.1082,4.2653,5.4635,4.303
Aurora (ZR),792.33,275.02,6.0897,9.7648,5.7057,3.6796,0,0.8954,4.6706,6.0644,4.0797,3.5053
Ayungon,575.67,357.71,-,7.3219,6.0577,3.6316,0,2.5844,4.4397,7.3833,4.0815,2.7435
Baao,286.84,178.24,3.4302,8.5548,8.245,4.2222,0,4.3761,5.3077,4.0841,4.7675,3.668
Babatngon,547.14,339.98,-,0.4062,6.0592,6.5948,0,4.6512,5.1605,4.9873,3.9923,3.6673
Bacacay,336.1,208.84,5.3604,6.2481,5.1798,3.0374,0,2.6631,4.303,3.5663,4.0967,2.9889
Bacarra,411.37,255.61,1.4323,9.1752,9.1423,4.2275,0,5.1535,6.7107,5.981,6.3641,5.045
Baclayon,637.31,396,-,7.4894,6.6158,3.6068,0,4.0545,6.3233,5.5612,4.5744,3.439
Bacnotan,246.96,153.45,1.2364,7.6086,7.4765,3.9895,0,4.6013,5.1327,5.4883,4.2299,4.1201
Bacolod (LN),786.4,488.64,-,8.3835,8.5526,3.7183,0,4.8394,6.5594,4.9509,4.6569,3.6452
Bacolod (NO),486.17,302.09,11.5094,5.1777,7.3723,5.2865,7.2442,6.1376,6.5463,6.183,5.2099,3.2198
Bacolod-Kalawi,823.68,511.81,-,-,-,-,-,-,-,4.0662,3.9217,2.4596
Bacolor,57.83,35.94,-,8.6816,8.4475,5.7501,0,8.4394,8.6372,6.0041,7.0659,5.9787
Bacong,644.75,400.63,-,7.379,6.5846,4.1523,0,4.9979,6.3656,5.5806,4.7308,4.8957
Bacungan Leon B. Postigo,747.41,464.42,-,-,3.3292,1.0605,0,2.5776,4.6453,4.8188,4.2121,3.2469
Badian,586.43,364.39,-,7.0358,7.5917,4.5472,0,5.0638,6.6679,5.9662,5.2513,2.9136
Badiangan,434.74,270.13,-,5.4809,4.0674,2.9804,0,4.4364,5.8653,4.9071,4.8653,3.5288
Badoc,375.68,233.43,-,-,6.7016,2.7681,0,4.5096,5.3375,4.8877,5.0448,3.735
Bagabag,226.82,140.94,-,7.8116,7.1463,4.9829,0,3.4303,3.6283,3.0447,3.972,1.8487
Bagac,62.73,38.98,6.379,9.3698,7.7927,2.9825,0,6.5178,5.8978,4.8484,5.0069,3.4251
Bagamanoc,364.19,226.3,-,-,-,3.5781,0,2.2204,2.1755,2.4789,3.3655,3.1568
Baganga,988.84,614.43,6.869,6.8575,5.6226,3.4122,0,3.0744,4.4333,4.6192,4.0252,2.913
Bago,494.58,307.32,6.0927,11.5616,4.8523,4.2587,4.7899,3.8654,5.032,4.0328,3.1858,2.6191
Baguio,207.78,129.11,10.7713,8.8906,9.6965,8.2154,7.0358,7.266,6.7338,7.945,4.8861,5.7468
Bagulin,232.47,144.45,-,-,5.5104,3.8744,0,4.3107,5.5089,5.6525,4.2817,4.0808
Bagumbayan,976.63,606.85,4.84,6.1472,7.3733,3.4094,0,3.981,4.4387,5.626,4.0282,3.0982
Bais,603.87,375.22,4.5248,3.6136,7.2795,3.447,5.6071,2.4891,4.8177,4.2088,2.7907,2.1557
Bakun,251.89,156.51,-,6.2311,5.427,3.432,0,3.7978,4.9823,3.7364,4.0847,3.1755
Balabac,855.5,531.58,-,-,-,-,0,2.3781,2.6549,3.5898,3.2291,1.6534
Balabagan,853.86,530.56,-,-,-,-,-,-,-,4.4843,4.1675,2.2505
Balamban,542.16,336.88,6.6218,8.9257,8.5017,4.6784,0,4.3854,5.0765,6.3131,5.1293,3.4625
Balanga,48.49,30.13,8.2122,8.5306,9.952,4.5651,5.1558,6.6221,6.6437,4.9033,4.0551,3.4353
Balangiga,614.67,381.94,-,0.4062,8.6553,4.2208,0,3.8606,5.3181,4.9652,4.5677,2.9293
Balangkayan,600.9,373.38,-,-,-,3.7136,0,3.1061,4.5209,5.0491,3.6807,2.5847
Balaoan,256.25,159.23,-,4.9676,7.4336,4.7896,0,4.4091,5.0917,4.8605,4.3808,3.8764
Balasan,415.61,258.25,-,6.6607,5.4723,3.7452,0,5.1236,7.6922,6.1075,5.685,4.0704
Balatan,281.96,175.2,-,-,5.424,3.3529,0,3.4858,2.975,3.0695,5.2597,3.0374
Balayan,76.35,47.44,8.1082,8.8823,8.8679,5.7949,0,4.5407,4.5155,5.1094,4.6521,3.8224
Balbalan,322.96,200.67,-,8.3276,7.4069,2.5723,0,3.7898,4.2923,4.0462,4.3447,2.6316
Baleno,359.68,223.5,-,-,4.4195,4.3483,0,3.1195,5.1632,3.1215,4.1241,4.2679
Baler,145.4,90.35,7.7845,11.5984,11.1905,6.4077,0,8.2888,8.9939,9.6035,7.7328,6.6809
Balete (AK),371.2,230.65,-,-,8.6337,4.5849,0,4.1355,5.001,4.0095,4.9112,1.7406
Balete (BS),85.87,53.36,-,-,6.9548,4.2227,0,5.3593,5.9059,4.9803,4.5379,5.1104
Baliangao,718.01,446.15,-,4.8246,5.9848,4.0486,0,3.9127,3.2523,3.2412,2.7582,2.5906
