PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aparri,29.6595,28.5910,27.2980,37.9346,0.0000,36.8006,37.5690,32.0530,29.9049,29.4493
Araceli,-,-,-,-,0.0000,1.9430,29.7972,25.9595,22.4540,22.6185
Arakan,11.0819,29.8167,26.1951,37.2572,0.0000,35.0945,36.4392,31.4142,27.1820,28.1441
Arayat,-,-,7.1571,11.0774,0.0000,36.0514,37.2569,33.1707,30.6611,31.2112
Argao,32.8652,36.7172,29.1984,37.0074,0.0000,37.0349,40.0321,36.4778,36.2996,38.2191
Aringay,19.7310,28.6994,26.3240,34.7627,0.0000,36.0846,36.7150,33.0715,26.9553,33.5262
Aritao,-,-,12.5393,34.0111,0.0000,35.4456,39.4071,31.3401,26.8081,29.4300
Aroroy,12.8877,28.9501,24.7115,32.7813,0.0000,31.9889,35.3450,30.9781,27.6249,27.4807
Arteche,-,-,-,28.2169,0.0000,30.1006,33.7852,31.2656,30.8688,29.2511
Asingan,-,-,19.4500,28.7740,0.0000,34.7842,36.4516,33.2621,31.2056,31.5596
Asipulo,-,-,18.5941,22.7189,0.0000,32.6107,36.2675,34.5268,30.9820,33.2949
Asturias,-,30.7531,28.7136,34.6158,0.0000,39.8607,37.6642,33.9178,22.6760,29.8087
Asuncion,29.8043,28.2459,21.0957,31.9453,0.0000,32.5507,34.9607,32.2460,29.9499,28.8897
Atimonan,28.4729,30.8984,24.6710,39.4874,0.0000,35.7555,37.5770,31.9021,31.0421,35.2288
Atok,-,32.4356,26.8039,28.4220,0.0000,27.3872,30.0340,28.9629,25.3042,22.3699
Aurora (IA),-,33.0295,27.4924,38.1046,0.0000,39.8455,41.1160,33.4007,31.8850,31.1191
Aurora (ZR),30.2000,34.4272,24.8394,20.7713,0.0000,15.4636,32.3982,35.3583,27.9212,30.4396
Ayungon,-,29.4568,20.5155,33.2723,0.0000,33.1827,33.1799,30.8123,22.0648,22.6940
Agdangan,-,-,26.2265,37.0580,0.0000,35.3762,37.6032,32.4513,31.6595,33.3311
Aglipay,-,-,21.4248,36.0422,0.0000,37.1832,39.5494,32.8828,31.6957,28.6648
Agoncillo,-,-,18.4659,31.7837,0.0000,34.0052,33.8272,27.1180,28.1522,32.3441
Agoo,28.4616,37.4469,32.3280,41.9723,0.0000,40.3149,42.8922,39.4043,31.6744,39.9495
Agutaya,-,-,-,-,0.0000,2.8862,19.7179,25.8546,23.2918,22.6547
Alabel,33.9607,32.0257,26.6655,39.6494,0.0000,39.8296,40.2154,36.6023,33.7890,37.8278
Alcala (PS),-,-,17.6882,31.3546,0.0000,38.6441,40.0718,34.0850,30.4896,28.4743
Alcantara (RN),11.5301,21.9642,18.5687,27.7231,0.0000,3.0103,29.3568,33.2742,26.1469,31.6508
Alfonso,28.5008,27.9453,20.9066,37.1215,0.0000,34.4552,32.8920,32.0780,30.3825,37.8125
Angadanan,-,25.2595,9.2610,34.8722,0.0000,38.2649,39.7454,32.1546,29.4432,30.1996
