PROVINCE / LGU,Distance (km),Distance (mi),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Amulung,370.8,230.4,-,5.1553,6.7032,0.5244,0,5.1253,4.7221,4.7599,1.915,2.5568
Anahawan,667.58,414.82,-,-,-,3.8774,0,3.9903,3.9202,4.9692,2.0896,3.3585
Anao,132.91,82.58,-,0.1795,7.5784,4.5504,0,5.1898,5.9595,5.4816,2.6963,4.1363
Anda (BL),666.91,414.4,-,6.3022,8.5691,4.6664,0,5.4799,6.4589,6.3742,2.9046,5.2125
Anda (PS),217.69,135.27,-,-,5.3592,6.2106,0,5.4595,5.111,4.7546,3.009,2.8906
Angadanan,265.19,164.78,-,5.6158,5.2442,5.9823,0,4.8162,5.0375,5.1275,2.7766,2.794
Angat,41.86,26.01,7.5277,8.1666,6.4298,5.0213,0,0.712,5.5641,3.797,2.1088,2.7697
Angeles,72.78,45.22,12.6289,8.753,8.6391,5.759,4.698,5.095,4.9067,5.2734,4.4292,4.3025
Angono,20.33,12.63,9.8943,13.7279,14.4,10.9244,0,8.7247,8.8084,8.3175,4.8231,5.7093
Anilao,444.65,276.29,-,7.9203,8.2098,5.4871,0,5.2745,5.02,5.1751,2.4414,2.4831
Anini-Y,473.43,294.18,-,-,6.706,4.9511,0,5.5007,5.0396,4.849,2.6464,2.5056
Antequera,623.07,387.16,-,6.7497,8.388,6.357,0,5.2778,5.4111,5.3563,2.6458,2.4604
Antipas,929.43,577.52,0.1791,6.914,7.1764,6.069,0,5.7021,5.8174,6.1014,2.1512,2.6588
Antipolo,21.07,13.09,10.2972,15.3975,15.0092,14.8403,11.5599,13.4534,12.8423,12.7429,7.4955,9.9004
Apalit,46.87,29.13,-,-,7.8168,2.8144,0,6.2138,6.0081,6.1465,2.5318,3.0836
Aparri,425.5,264.39,7.6368,7.3773,9.3021,6.4286,0,5.8404,5.5605,5.0677,2.5696,2.8398
Araceli,922.93,573.48,-,-,-,-,0,0.0078,3.1577,2.8003,1.3895,2.0333
Arakan,462.04,287.1,0.3779,7.2896,7.7557,6.1046,0,5.6104,5.5126,5.6359,1.8355,2.2618
Arayat,66.79,41.5,-,-,1.561,1.3051,0,5.0858,5.6142,5.8269,2.3869,3.061
Argao,595.53,370.05,12.0947,10.0276,8.9403,6.5198,0,5.9203,6.3063,6.2089,2.8102,3.2408
Aringay,212.52,132.06,0.3807,5.3598,7.1874,5.4005,0,5.2225,5.1539,4.976,2.0936,2.7421
Aritao,190.92,118.63,-,-,1.5282,4.7038,0,5.4768,5.1859,4.9311,1.9251,2.3103
Aroroy,348.64,216.63,0.267,7.3492,9.041,6.8986,0,6.007,5.8008,5.6591,2.3683,2.6322
Arteche,546.48,339.57,-,-,-,2.6467,0,4.3142,3.6192,4.7666,2.7408,2.5111
Asingan,161.23,100.19,-,-,6.7117,6.0677,0,5.4299,5.3186,5.0175,2.2329,2.6385
Asipulo,238.06,147.93,-,-,6.1639,3.0791,0,4.2918,5.258,5.6625,2.6616,3.5262
Asturias,536.45,333.34,-,8.1185,9.3395,6.024,0,5.6288,5.537,5.8397,0.4313,2.565
Asuncion,942.44,585.61,6.4485,5.9406,6.3221,4.1142,0,3.6713,4.9642,4.9998,2.903,1.3831
Atimonan,120.49,74.87,7.9465,6.9991,6.5786,7.4322,0,5.2448,5.4808,5.1835,2.5901,2.8269
Atok,228.49,141.98,-,7.7221,7.9543,5.4411,0,4.9467,4.4831,4.3694,2.2455,2.1665
Aurora (IA),275.02,170.89,-,8.2753,10.8407,6.572,0,6.3109,6.6908,6.1166,3.131,3.3941
Aurora (ZR),792.33,275.02,7.1991,8.357,8.4511,5.4438,0,0.7506,5.5861,6.2003,2.2623,2.692
Ayungon,575.67,357.71,-,8.7788,8.2991,4.9524,0,4.9995,4.7811,4.9253,1.9308,2.4306
Baao,286.84,178.24,0,10.2922,11.0856,7.1043,0,5.912,5.807,5.6617,2.6585,2.7359
Babatngon,547.14,339.98,-,0.0567,4.7075,3.8745,0,4.0339,3.7037,4.6717,2.3733,2.1436
Bacacay,336.1,208.84,5.0976,6.0943,6.8759,5.688,0,6.7712,7.1153,6.1534,2.6709,3.1925
Bacarra,411.37,255.61,6.8507,8.9698,12.0373,7.2651,0,5.5767,5.6402,6.23,2.9065,3.1485
Baclayon,637.31,396,-,10.8693,9.2014,5.9065,0,5.3837,5.5322,5.7696,2.8937,2.7318
Bacnotan,246.96,153.45,1.1547,7.5877,7.3397,5.5743,0,5.1759,5.1304,4.9522,2.3468,2.8754
Bacolod (LN),786.4,488.64,-,8.6428,9.4178,6.447,0,5.939,6.1803,5.6885,3.1075,3.0124
Bacolod (NO),486.17,302.09,10.2374,5.9316,10.2961,7.7063,11.0301,7.682,7.8839,7.7226,6.1328,5.6263
Bacolod-Kalawi,823.68,511.81,-,-,-,-,-,-,-,4.774,0.2856,2.0117
Bacolor,57.83,35.94,-,8.0878,10.1591,5.7201,0,5.4025,6.2204,6.0214,3.968,3.6889
Bacong,644.75,400.63,-,9.4672,9.3872,6.4898,0,5.6416,5.505,4.9535,2.7127,2.6671
Bacungan Leon B. Postigo,747.41,464.42,-,-,0.7962,1.0269,0,4.6259,3.6365,4.7214,2.4869,2.1384
Badian,586.43,364.39,-,5.3743,10.0791,7.4976,0,6.2434,6.8724,4.9818,2.7246,2.3625
Badiangan,434.74,270.13,-,4.7148,9.8506,5.7762,0,5.2826,5.5227,5.4892,2.6858,2.4572
Badoc,375.68,233.43,-,-,8.9081,6.8205,0,5.8772,5.5245,5.6316,3.0797,3.3229
Bagabag,226.82,140.94,-,7.0574,6.769,5.535,0,4.5235,4.4393,3.8051,1.6106,1.85
